Rank,Country/Region,Average Score
1,"China (Beijing, Shanghai, Jiangsu, Zhejiang)",578.7
2,Singapore,556.3
3,Macao,542.3
4,"Hong Kong, China",530.7
5,Estonia,525.3
6,Japan,520
7,South Korea,519.7
8,Canada,516.7
,Taiwan,516.7
10,Finland,516.3
11,Poland,513
12,Ireland,504.7
13,Slovenia,503.7
,United Kingdom,503.7
15,New Zealand,502.7
16,Netherlands,502.3
,Sweden,502.3
18,Denmark,501
19,Germany,500.3
20,Belgium,500
21,Australia,499
22, Switzerland,498
23,Norway,496.7
24,Czechia,495.3
25,United States,495
26,France,493.7
27,Portugal,492
28,Austria,491
29,Latvia,487.3
30,Russia,481.7
31,Iceland,481.3
32,Lithuania,479.7
33,Hungary,479.3
34,Italy,477
35,Luxembourg,476.7
36,Belarus,472.3
37,Croatia,471.7
38,Slovakia,469.3
39,Israel,465
40,Turkey,462.7
,Ukraine,462.7
42,Malta,459
43,Greece,453.3
44,Serbia,442.3
45,Cyprus,438
46,Chile,437.7
47,United Arab Emirates,433.7
48,Malaysia,431
49,Romania,428
50,Bulgaria,426.7
51,Moldova,424.3
52,Uruguay,423.7
53,Brunei,423
54,Montenegro,422
55,Albania,419.7
56,Jordan,416
,Mexico,416
58,Costa Rica,414.7
59,Qatar,413.3
60,Thailand,412.7
61,Colombia,405.3
62,Kazakhstan,402.3
,Azerbaijan,402.3
64,Bosnia and Herzegovina,402.3
65,Peru,401.7
66,Brazil,400.3
67,North Macedonia,400
68,Argentina,395
69,Georgia,387
70,Saudi Arabia,386
71,Indonesia,382
72,Lebanon,376.7
73,Morocco,368
74,Panama,365
75,Kosovo,361.3
76,Philippines,350
77,Dominican Republic,334.3
